Puan;Başlık;Yorum;Vote
2;Donma Sorunu İos;Uygulama 25.49.0 sürümü iphone 6s ios 15.8. 2 sürümünde uygulamaya bir kez girdikten sonra tekrar girmiyor lütfen düzeltirmisiniz ?;0
1;Tam bir rezalet;Gece 00.30 da sipariş verdim ancak saat 4.22 olmasına rağmen hiç bir şey gelmedi buna ek olarak birde teslim girildi ne müşteri temsilcisi var ne başka bir yer gece 4.30 da napacağımı bilmiyorum destek filan yok.;0
1;berbat ötesi;İnsanı açlıktan öldürür bu o. evlatları;0
1;REZİLLİK!!!;Canlı destek yok, müşteri hizmetlerine ulaşılmıyor! Müşterilerini tamamen restoranın insafına bırakıyorsanız ne diye uygulamayı kullanıp size para kazandıralım telefonla sipariş ederiz! İşinize saygınız yok. Bir daha asla ama asla sipariş vermeyeceğim!;0
1;İletişim yok;Müşteri hizmetleri yok telefonu suratınıza kapatıyolar eksik ürün gönderiyolar aman dikkat edin;0
1;Kazıklıyosunuz;Hizmet bedeli, servis bedeli , getirme ücreti adı altında milleti kandırıp 2-3 katı para alıyorsunuz haram olsun siliyorum uygulamanızı;0
1;Para tuzagı;Uygulamada iade yapamadım daha sipariş edeli 2 saniye olmasına rağmen üstüne telefonlarım açılmıyor bilerek başkasını arıyorum numara kullanılmıyor diyor trendyol go geçin bu uygulamayı skm;0
5;Başırı bi uygulama;Aradığım herşey var ve siparişim zamanında geldi;0
1;Açılmıyor;Açılmıyor hep bir sorun düzeltin artık;0
5;Güzel;İyi;0
1;SAÇMALADINIZ İYİCE;Restaurant 20 tl kurye ücreti alıyor onu anladık ilaveten neden 5 tl hizmet ücreti alıyorsunuz? Her hafta zam geliyor yemeklere, kalite düşüyor. Uygulamayı bırakma zamanı gelmiş…;0
1;sipariş iptali mümkün değil;yanlışlıkla sipariş verirseniz iptal edemiyorsunuz ve paranıza çöküyorlar, müşteri hizmetleri adını verdikleri yere ulaşamıyorsunuz. sipariş son anında 5 saniyelik geri sayım koymuşlar ama çalışmıyor;0
1;Extremely Irresponsible App – No Support and Unreliable Service;"I had a very disappointing experience with this app. Restaurants can easily take your money, mark orders as “delivered,” and there is absolutely no accessible customer support to help you. I was left waiting for hours with no response, even though the restaurant didn’t have the item I ordered and refused to cancel it.

There is no proper assistance, no live support, and no way to solve issues when something goes wrong. The app feels completely irresponsible and unreliable. I do not recommend it to anyone, and I hope the developers take these problems seriously.";0
1;En kötü hizmet;Yemek 1,5 saat gelmediğinde müşteri hizmetleri diye bir yere ulaşmak mümkün değil. Tek seçeneğiniz adres değişini. Ne telefon, ne chat bot. Korkunç. Abv.;0
1;Sipariş;Eksik ve yanlış ürün gönderiminde iptal veya iade yapmıyorsanız ne işiniz var bu sektörde;0
1;En kötü yemek uygulaması;"Denetim ve yönetim eksiklikleri nedeniyle ciddi politikalar alarak iade süreçlerini yenilemişler sanırım. Ancak haklı olanı da küstürdüler. İletişim eksikliği olan kuryeleri…
İnisiyatif eksikliği olan müşteri temsilcileri…
Hatta konuyu bir üstte aktaramayacak sistemsizlikleri ile bu sektörde küçüleceklerdir. Trendyol yemek Hepsiburada getir bizleri bekliyor…";0
1;Fkdkkf;Kakskdkdj;0
1;allahin belasi;canli destek sistemi tas devrinden kalma dünyanın en kötü sistemi siz yazarken yüzünuze kapatiliyor sakin indirmeyin umarim batar;0
1;Açılmayan uygulama;Uygulamayı silip yüklemekten sıkıldım açılmıyor muattab olacagın kimseyi  bulamıyorsun;0
1;Destek yok;Yanlış sipariş verdim, canlı destek YOK. Restoran numarası var, kullanılmayan numara. Yahu dolandırıcı bunlar kaçın.;0
5;Giriş;Uygulama açılmıyor 2 gündür;0
1;Güncelleme ile çalışmıyor 8-12-2025;Y logoda kalıyor yazık müşteri kaybı arkadaslarda da aynısı silip geçiyoruz;0
1;Berbat;130 tl den düşük sipariş veremiyorum.Bu saçma;0
1;İptal Reziiliği;7:10 da sipariş verdim , 9:50 de teslim edeceklermiş . Birde erken teslim için ücret ödeyip bu saatler arası teslim etmeyi planlıyoruz diye mesaj atılıyor. Siparişi iptal etmek istediğinizde de ise üzgünüz iptal edemiyoruz deyip dalga geçiyorlar .;0
1;Temsilciye ulaşmak imkansız;Sipariş epey geciktiği için, yardım merkezine giriyorsun, siparişim nerede butonu çıkıyor, basıyorsun, “hazırlanıyor” diyor, aşağısına da bir buton koymuşlar “teşekkürler bekleyeceğim”. Yahu hazırlandığını normal sipariş ekranından da görebiliyorum, çözemediğiniz sorun için size niye teşekkür ediyorum??? Yani??? Ne???? Ne bu???;0
1;Çök kötü destek hattı;Müşteri temsilcisine ulaşmak hiç mümkün değil, siparişle ilgili bilgi almak için müşteri temsilcisine ulaşabilirsiniz diyorlar, uygulamanın hiçbir yerinde bulamazsın. Bir de müşteri hizmetleri numaraları yok, restoran numarası da yok, verdikleri tek şey, strestir;0
1;rezil uygulama;hayatımda gördüğüm en berbat rezil uygulama 2 dir yemeği 2 saatte getiriyorlar kuryelere yazık gerçekten müşteri temsilcisine de ulaşılmıyor aklınız varsa hiç bir sipariş vermeyin şu uygulamadan;0
1;Hiç bir işe yaramaz;Kaç kere yaşadım ama saat 10 da sipariş verdim restoran bende sipariş yok dedi yemek sepetine ulaşmak mümkün değil kurye aldı gözüktü saat gece 2 oldu sonra siparişi iptal ettiler;0
1;Irresponsible organization;"If you wish for a warm food and on time delivery ,responsible as well
This is NOT the app you want";0
1;Oe;Lan siz benimle dalga mı geçiyorsunuz siparişim 1 de gelmesi gerekirken 2 attınız arıyorum resmen 10 dakika bekledim bir angavut actı adam sipariş kodunu aldı metin okudu iyi geceler diyip suratıma kapattı sizden yemek söyleyeni sksinler mk sktirin gidin 1 yıldız bile verilmez size khpeler;0
1;Çok kötü bir uygulama olmuş;Eskiden hemen müşteri hizmetlerine bağlanılabiliyordu. Açık görünen dükkanlar kapalı .sipariş iptalini hemen gerçekleştiremiyorum. Hiç sevmedim.;0
1;Rezalet;Bir sipariş verdim 2 saat oldu halen gelmedi iptal etmek istiyorum canlı görüşmede yoğunluk varmış saat 10 da sipariş verdim şuan saat 12 yi geçti yarın 6 da kalkıcam işe gidicem uykusuz kaldım sırf 2 tane dürüm istedik ya Allah sizi bildiği gibi yapsın utanmaz arlanmazlar.;0
1;Worst company in turkey;Dont trust them. They dont care for customer satisfaction at all;0
1;Paramı vermedi;Gece yemek siparişi vermiştik 3 hamburger, 2 tanesi geldi sadece. Talepte bulunmama rağmen kimse ilgilenmedi. Hem hamburgerden hem paramdan oldum ve kimin suçlu olduğu ortada. Neden böyle insanlarla çalışan bi uygulamayı kullanayım ki?;0
1;Müşteri iletişimi;Başından beri kullanırdım, korkunç bir hal almış asla iletişime geçilmiyor. Sildim, bir daha asla kullanmam.;0
1;Şikayet;Yemeksepeti üzerinden aldığım bir yemek yaklaşık iki 2,5 saat gecikme yaşadı yaşanan gecikme ardından da başvurabileceğim iptal edebileceğim herhangi bir merci hakkı sunulmadı gerçekten rezalet söyleyeceklerim bu kadar.;0
3;Geliştirme fikri;"Genel olarak uylama kullanışlı ama bir sorundan bahsedeceğim pizza siparişi  vereceğim içinde ne olduğunun anlatan bir resim yok, isimlerden içinde ne olduğunu anlamaya çalışmaktan sıkıldım. örnek isimler; Türkishmax, superior, parti bu isimlerden içinde ne olduğunu anlamak çok zor.";0
1;Memnun kalmadım;Siparişim eksik geldi kimsede yardımcı olmuyor;0
5;Teşekkürler;Yılların klasiği bir uygulama. 2005’ten beri severek müşterisiyim.;0
1;Berbat güncelleme;İnsanları daha rahat kazıklamak için joker indirimi kullanmayı zorunlu hale getiren saçma bir güncelleme geldi normal restoran fiyatlarıyla karşılaştırma yapılmasın (restoranların sahte indirimleri belli olmasın);0
1;sipariş;Adamlar kurye bulamıyor siparişi getirecek bu kadar kötü bir teslimat uygulaması görmedim.;0
4;İndirmeyin Mağdur olursunuz;Restoran kendi kafasına göre sipariş iptali yapıyor saatlerce bekletiyorlar geri dönüşte yapmıyorlar paranızla rezil olmak istiyorsanız indirin;0
1;Rezalet bir uygulama muhatap yok;Saatlerce yemek bekliyorum ne bi numarayla görüşebiliyorum ne canlı destek bağlanıyor saatlerce yemek bekliyorum iki gündür üst üste görüşebileceğim biri de yok;0
1;Yemek siparişi;Yemek istedim 2 saat oldu gelmedi şikayet etmek istiyorum müşteri hizmetlerini arıyorum şikayet edicem diye telefonu yüzüme kapatıyor bu uygulamadan asla yemek siparişi vermeyin;0
3;Haraç;Hizmet bedeli diye bi haraç kesmezseniz insanlardan daha iyi olur;0
1;Zamanlama kötü;Asla gösterilen saatte gönderim sağlanmıyor insanlara saygı 0 . Uygulamaya  her girdiğimde teslim süresi 15 dakika uzuyor;0
1;Uygulama çöküyor;Son sürümden sonra uygulama açılmıyor, çöküyor, güncelleme gelmesi lazım;0
1;Yemeksepeti Bitmiş;Heralde 20 senedir kullanan biri olarak, istediğim bir menüden hamburgerim gelmedi ve patates kola ile doymam gerekti. Yemeksepetinin rezil sistemine girdim, ekstra talep de açtım, 1 haftayı geçti hala talep inceleniyor diyor. Üzgünüm ama siz artık türkiyede kaybetmeye mahkumsunuz, ve umarım öyle de olacak.;0
1;5 para etmezsiniz;Vasat bi yönetim anlayışınız var kuryeyi, işletmeyi ve müşteriyi birbirine düşürüyorsunuz;0
5;O kadar motor çıkarttımki döndüm yemek sepetine;🤩;0
5;İndirim;Yüzde 50 indirimleri severek kullanıyorum teşekkürler yemek sepeti;0
1;Fiyasko;"Kullanmayı bırakma vakti çoktan gelmiş 
Öncelikli sipariş veriyosun gelmiyor iptal edilmiyor boş boş bekletiyo restoran kapancak öyle iptal olcak heralde";0
3;Uygulama Açılmıyor;Kaç gündür uygulamaya giriş yapılamıyor. Bi güncelleme getircekmisiniz?;0
5;Teknik sorun;Uygulama hacklendi mi? Açılmıyor…;0
1;Destek 0;"Bir sipariş veriyorsunuz tam 4 kere erteleniyor ve sonucunda iptal etmek dışında başka bir seçeneğiniz maalesef yok 
Yemeksepeti veya mağazanın hiçbir numaralarına ulaşılamıyor destek 0 
Nasıl bu denli büyüyor bu uygulamalar?";0
1;Seveilmeyen restaurantlar;Begenmedigimiz restaurantlari hatirlamak icin onlara 👎🏽 isaretini en azindan kendi sayfamizda koyabilmeliyiz. Ezberlemek zorunda kaliyoruz begenmedigimiz restaruantlari;0
1;Kul hakkı yediniz;Allah sizin belanızı versin inşallah;0
1;Ulaşılacak kimse yok;Müşteri olarak sürekli yaşadığım sorun. Sıkıntıya düştüğümde help butonu hiçbir işe yaramıyor, görüşülecek kimse yok. Sadece yemeksepetinin uygun gördüğü sorunları yaşayabilirsiniz başka sorununuz varsa yemeksepetinin umru değil. İyice berbat ettiniz bu sistemi.;0
3;Bayramoğlu- İntiba;Akbaba mah çok merkezi bir yer olmasına ragmen bayramoğlu- intiba gibi yerler servis agınızda yok.;0
2;Kupon kullanımı;Kupon kullanımı çok verimsiz neredeyse hiç bir işe yaramıyor diyebilirim bunyüzden mümkün olduğunca az kullanıyorum uygulamayı;0
1;Adi firma;Bu yemek sepeti kadar adi firma görmedim üye olmayın buraya hattımı yeni aldım ilk defa kullanıma açtım kuponlarımı tanımıyo türkcell bu adi firmadan kod verdi uygulamıyo hesabımı kapattım uygulamayı sildim yemek sepetimi asla tredyol yemekten vazgeçmeyin böyle adi firmalara prim vermeyin;0
1;Başka firma kullanın;Gidin başka firma kullanın 2 saat oldu yemek gelmedi iptali 2 saat sonra yapabildiler hiç bir muhatap ve ya müşteri hizmetlerine ulaşamıyorsunuz 2 saat geçmesi gerekiyor;0
1;Sipariş hatası ve para iadesi yapılmaması;İkidir yanlış sipariş geliyor birincisinde kabul ettik bir şey demedik ikincisinde yine aynı marka aynı ürünü yanlış getirdi. Bu u istemediğimizi değiştirmelerini söyledik sonra bize siparişi iptal edin o zaman dediler fakat yemek sepeti uygulaması malesefki paramızı çaldı ürün falan da göndermedi hiç kimseyle iletişim sağlayamadık. Müşteri hizmetlerine durumu anlattığımızda bize bu konuda yardımcı olamayacağını söyleyip telefonu suratımıza kapattı böyle saygısızlık hiçbir müşteri hizmetlerinde görmedik. Berbat bir sistem berbat bir müşteri hizmeti hizmet diye bir şey yok tabi orası ayrı;0
1;Uygulama da mantık hataları var;Ödeme sayfasında kupon kodu giremiyoruz. Sepetim sayfasında girmemiz gerekiyor. Bu çok saçma otomatik bakit seçiliyse kuponlar kesinlikle girilemiyor. Bunun düzeltilmesi gerekiyor. Ürünler sepete eklenirken eklenmesi uzun sürüyor. Infınıty scroll özelliği bazen çalışıyor bazen çalışmıyor. Bunların detaylıca incelenmesi ve testlerinin yapılması gerekiyor. Böyle bir firmaya test yapmadan güncelleme yapmak yakışmıyor.;0
1;sizin yapacaniz;uygulamaya kafam girsin;0
1;KULLANILACAK BİR FİRMA DEĞİL…;"1 yıldız bile çok fazla 
İnsanları umursamayan bir firma ürünler soğuk geliyor.";0
3;Konum sorunu;Sistem ne yaparsak yapalım adresi arka tarafa atıyor.;0
1;MÜKEMMEL;2 saat teslimat süresiyle yemek sepetine teşekkür ederim;0
1;Customer Service is the worse;I ordered food from an restaurant and I waited 2 hours and the food did not come yet the problem is that the i contacted the customer service for help and they called the driver after few calls and long minutes they answered me back finally saying that the driver claimed that he delivered your order and we can’t assist you any further like what? So driver can steal my food and claim anything and that is it even though it literally says on the program your food is still being delivered the representative name was Emir C. please fire him he really doesn’t help at all i waited 2 hours + 1 hours contacting the support and lost money and literally will sleep hungry i repeat the Representative name Is Emir C.;0
1;Canlı destek ve hizmet konusunda olsun rezalet bir firma bir daha asla uygulamayı kullanmayacağım;Açık yerden sıparıs verıyorum 1 saat geçmiş canlı desteğe bağlanıyorum iptal etmedıgım halde otomatik kendısı sıparısımı iptal etti madem kafanıza göre siparişimı ıptal edeceksiniz tam olarak bu alanda ne amaçla hızmet ediyorsunuz TRENDYOL EN İYİSİ HER ZAMAN TRENDYOL DAN SİPARİŞ VERMEYE DEVAM EDECEĞİM SİZİN UYGULAMANIZI DA KİMSEYE ÖNERMİYORUM ÇÜNKÜ BU ALANDA GERCEKTEN ÇOK KÖTÜSÜNÜZ;0
1;Berbat bir marka;Bu kadar kötüye giden müşteriyi rezil eden bir yemek firması daha yok mide bulandırıyor yemek sipariş ettiğim yerler yemek eksik yada hasarlı gönderiyor ama asla yardımcı olmuyor böyle bir durum olmaz ya;0
1;Sipariş iptal edilmiyor;Sipariş iptal edilmiyo bir türlü, yolda görünüyor 2 saatte geçse ne sipariş geliyo ne iptal ediliyor ne ücret geri yatıyor. Yemeksepeti de hiçbir şekilde destek olamıyor maalesef;0
1;Dolandırılım;Yanlış yemek teslim edildi. Ücret iadesini talep ettim. Aradaki farkın tamamını iade etmediler. Gidin turuncu uygulamayı kullanın. En azından sizin arkanızda dururlar ve iadenizi yaparlar.;0
1;Sıfır pratik;Bir adresi 50 kere girdirip siparişi verip karttan onay gelene kadar ilerleyip sonra 10 kere aynısı ı yaptıran iğrenç bir uygulama nefret ediyorum saçma sapan uğraştırmasını ve sonsuza kadar siliyorum.;0
1;Rezalet;Sipariş veriyorsun restaurant arıyor abi yemek hazır diye ama yemek sepetinin kuryesi bir saat sonra gidip alıyor rezalet;0
1;Terbiyesizler;Iletisim 0, müşteri memnuniyeti 0;0
1;.;5kuruş etmez bir sistem siparişi yanlış adrese verdim beni ne sipariş verdiğim dükkana bağlıyo nede girdiğim adresi değiştirmeme trendyol goyu rercih ederim;0
3;Uygulamada hata var;Siparişmi oluşturuyorum ödeme yerine geçiyorum kredi kartını seçiyorum kredi kartı bilgilerimi giriyorum tamama basıyorum sonra otomatik olarak tekrar nakit olarak siparişi oluştuyor acilen düzeltilmesi gerek üstümde nakit yoktu mecbur hesaplarına atmak zorunda kaldım;0
1;Bıktım;Gerçekten bıktım 45 dk geciken yemek için müşteri temsilcisine bağlanamamaktan ne zaman kullansam pişman oluyorum;0
5;Kolaylık güvenlik;Çok iyi bir Uygulama harika servis v güvenli …..;0
1;Acilmiyor?;Marketler kisminda hangi dukkana girsem bombos… birak urun gormeyi kategoriler bile gorunmuyor. Beyaz ekran. Gitgide kotuleyen bir deneyim sunmanizdan belliydi bir gun patlayacaginiz. Zaten muthis yavas yuklenme, yuklenmeme, crash etme yasiyorduk simdi resmen boslukla bakisiyoruz. Yemeksepeti olu bir dinazor artik, calisanlar da kendilerine yeni bir is baksalar daha iyi. Yakinda sirket cekilirse trden hic sasirmam;0
5;Sizin uygulamanızın içine tüküreyim;Yapacağınız uygulamanın ben sipariş veremiyoruz birşey yapamıyoruz allah belanızı versin;0
1;En Açgözlüsü;Yemek uygulamaları içindeki en aç gözlü olanı. Arada joker bakmak için girmek dışında kullanmak için sebep kalmadı;0
1;Onunbynuncocukları;2 seferdir siparişte parayı alıp getirmiyorlar nir de dakga gecer gibi 50yl kupon tanımlıyorlar ananıxııbacızını;0
1;ENGEL ENGEL ENGEL !!!!;Promosyon veriyor ama faydalanamamanız için elinden gelen her şeyi yapıyor!!!!!!;0
1;Sorumsuz ve ilgisiz Bir uygulama;Joker adı altında 300 liralık ürüne 600 TL yazıp sözde 200 TL indirim yapılıyor ve siz bunların hiçbirini denetleyorsunuz bu dolandırıcılarla ortak iş yapıyorsunuz ben yemeksepeti Trendyol Migros hiçbirinden artık yemek siparişi vermeyecegim hiçbirinizi istemiyorum yazıklar olsun insanları dolandırmaktan vazgeçin;0
1;Damaged and rotten products;"I use this app everyday because it is available late at night to get groceries and I tend to cook a lot. But their support is the worse experience I ever had. I keep getting rotten avocados and rotten fruits. It is like the lottery so you don’t know what you are getting and when you go to the reporting section in the app it keeps processing claiming to connect you with an agent. I spent 30 minutes waiting in vein and I tried an hour later but the same thing. I am not getting refunded for my money lost. Prior I had an issue where my order did not come and I requested a refund and they blamed me for not selecting a correct address which is a lie as I had that address all along and no money was refunded 
Is there anyone else having this issue
I don’t know how to report this or get support so o am writing a review hopefully you will freakin check the products before ripping people off";0
1;Bozuk uygulama;Yemek sepetini indirdikten sonra sadece bir kere girebiliyorsun uygulamayı kapatıp açınca tekrar açılmıyor ana ekranda bekletiyor 1 aydır bu şekilde on binlerce müşteri kaybettiniz;0
1;Rezalet canlı destek bile yok;Ödeme yöntemi kapıda kredi kartı idi onlineye çevirmek istedim telefonumdan kod istedi kartı bile seçtirtmedi ve ödeme onaylandı dedi değiştirmem için bi yardım da yok yanlış hesaptan çekildi yönlendirdikleri restoran numarası bile kullanılmıyor;0
5;İyisin iyi;Allah Nevzat Aydın'dan razı olsun.;0
1;Gösterilen süreye uyum yok, en kötü yemek sitesi;Hiç bir zamn tahmini teslimat süresinde teslim edilmiyor.;0
1;Berbattt uygulama;Berbat bir uygulama. Asla zamanında gelmeyen ürünler kendilerine bağlı firma ve kuryeleri takip edememe. Canlı destek tayfası zaten berbat be saygısız. Açıklama talep ettiğinizde konuşmayı suratınıza kapatıyorlar :)) paranızla rezil olmak isterseniz kullanın buyrun.;0
5;Dünyanın En İyi Yemek Uygulaması;Dünyanın en iyi yemek uygulaması ve hizmeti süper harika;0
1;Yeter!;Bir kere de bir şeyler ters gitmesin be kardeşim. Sürekli kupon reklamı yapıyorsunuz ancak hiçbir restoranda kupon geçmiyor.;0
1;AÇILMIYOR.;Güncellemeden önce gayet iyiydi. Güncellemeden sonra ne olduysa artık uygulama kırmızı ekranda ( Y ) harfiyle takılıp kalıyor. Sildim tekrar yükledim. Açıldı. Sonra kullanıcı girişi yaptım. Uygulamadan çıkana kadar gayet iyiydi. Çıktıktan sonra bir daha bakayım dedim yine aynı kırmızı ekran. Uygulamayı anlayacağınız kullanıcı girişsiz kullandırtıyor ama alışveriş için giriş yap diyor. Giriş yapınca tekrar çıkış-girişte açmıyor.;0
1;bıktım artık;silicem;0
1;Pişmanlıktır;Pişmanlıktan başka bir şey değil sakın ama sakın düşmeyin sabır taşı olsanız çatlatırlar sildim rezillikten başka bir şey değilsiniz;0
1;Müşteri hizmetleri;Asla canlı desteğe bağlanılmıyor internette yazan numaraları da aranmıyor resmen bir yanlışlık olursa düzeltemeyelim diye yapılmış rezalet;0
1;İyice berbatlaştı;Kupon kullandırmamak için üstün çaba sarf ediyorlar kuponu kaldırmadan siparişin her aşamasında hata veriyor;0
1;Saçma;Sadece 1 kerelik kullanabildiğimiz yeClub sekmesini neden sürekli baloncuk şeklinde ana sayfada gösteriyorsunuz ? Aylardır kullanıyorum uygulamayı sadece 1 kere kullanabildim bir daha kullanamamadım.;0
1;Rezalet !!;İletişim konusunda sıfır bir uygulama rezaletsiniz !;0
1;uygulama;o kadar kötü bir uygulama ki hesabına girdmedim yeni hesap oluşturdum numaramı tekrar kullanamıyorum şaka gibi bir destek yardım asistan koyulabir!!!!!;0
1;Çok kötü bir uygulama;İlk başata kupon verim eliniz den alıyorlar kesinlikle indirmeyin veya sipariş etmeyin;0
1;DESTEK HATTI YOK!!!;DESTEK HATTI YOK!!!;0
1;Ödeme yöntemi reddedildi;Hiçbir türlü sipariş veremiyorum online ödeme kapıda temassız kart ve nakit ödeme hepsinde ödeme yönteminiz reddedildiği uyarısını veriyor;0
2;HATA;Son güncellemeden sonra açılmıyor;1
1;geliştiricilere isyan;yemek söylerken diğer uygulamalarda dükkana olan km yazıyor. yemeksepetinde ne yazık ki yazmıyor bu olay hem kuryeyi hem de yemeğimizin daha uzaktan gelmesini sağlıyor ve soğuyor. çok basit bi güncelleme ile rica ediyorum şu mesafe olayını getirin söyliceğimiz yer kaç km bilelim.;0
1;Reklam;Allah belanızı versin orusbu çoçukları;0
1;Ödeme yöntemi sorunu;Setcard ile ödeyeceğim siparişi setcardı yüzlerce kez seçmeme rağmen arada sırada kredi kartımdan çekiyor müşteri hizmetlerine ulaşmak istiyorum ama kullanım dışı diyor bu kadar sorunlu ve sorumsuz bir firma görmedim;0
1;UYGULAMAYI KULLANMAYIN;Tamamen sizi enayi yerine koyuyorlar herhangi bir sipariş iptalinizde sorgusuz sualsiz uygulama içinde cüzdana iadeniz yapılıyor. Ben cüzdana aktarılan paramın yarısını kartıma iade alabildim geri kalan iade olmadı. Hiçbir şekilde canlı destek hatları yok. Telefon numaralarına ulaşılmıyor. Kendileriyle mahkeme ve bakanlık ile özel olarak ilgilenicem.;0
1;Uygulama Açılmıyor !!!;Defalarca silip yeniden yüklememe rağmen uygulama açılmıyor belli ki yüklememek üzere sileceğim sahiden bu kadar zaman kullandıktan sonra en sipariş vermem gereken dönemde bu gibi bir sıkıntı kabul edilemez müşterilerine bu denli önem vermeyen bir şirket daha görmedim her seferinden kullanabilmek için ( hele aktif de kullanan birisi olarak ) silip yeniden mi yüklememiz gerekli indirmeyin indirtmeyin bir şans daha vermeyeceğim;0
1;0 olsa 0 verirdim;Kupon verdiler kullanmaya çalıştım ödemede saçma sapan bir sorun oldu ödememi almadı. Sonra geri diyip yeniden deneyeyim dedim kuponunu ikinci kez kullanamazsın dedi. Ben hayatımda böyle saçma uygulama görmedim benzer uygulamalarda da arada böyle sorunlar oluyor hemen müşteri hizmetleri yardımcı oluyor burada sorun bildirmek istiyorsunuz karşınızda muhattap yok. Saçma sapan bir uygulama zaten arayüzü de çok kötü 3 yaşında çocuk kodlamış gibi zaten hizmetleri de o seviyede hiç tavsiye etmem.;0
1;Dolandırıcılık;01-12-25 tarihinde sipariş verdiğim hamburgerim tarafıma teslim edilmediği gibi , dükkan teslim ettiğini iddia ettiği için benim paramı alıp , hamburgerimi getirmediler. Yemek sepeti, dükkan teslim edildiğini belirtiyor,yapabileceğimiz bir şey yok dedi. Yemek sepeti dükkanın telefon numarasını paylaşmıyor ve konuyu çözmek için hiçbir zahmete girmiyor, benim gibi dolandırılmayın diye yazıyorum. Bu uygulamayı kullanmayın, hiç güvenilir değil. Hala şoktayım.;0
1;Scammers;SCAMERSS;0
1;Standart;"Güncelleme: Müşteri hizmetleri yok. Uygulama içinden asla hizmet verilmiyor. Ara sıra denk gelen yazışmalı destek kısmında müşteri temsilcisi olduğunu iddia eden şahıslar sizi asla dikkate almıyor ve konuşmayı yarıda kesip sizi öyle bırakıyorlar. Yemeksepeti artık en son tercih edeceğim uygulama. Trendyol ve Getir hatta Migros bile çok daha iyi hizmet veriyor. Keşke bir yıldız bile veremesem, direkt sıfır verebilsem size.



Yemeksepeti komisyonlarını arttırdığı için fiziksel restoran fiyatlarıyla YS online sipariş fiyatları arasında en az %30 fark var ve Joker’de çıkan restoranların Joker sırasındaki fiyatlarıyla Joker öncesi fiyatları arasında da yarı yarıya fark oluyor. Ya restoranlar Yemeksepeti’ni kazıklıyor ya da Yemeksepeti hepimizi kazıklıyor. Bu konuda bir düzenleme yapılması gerekiyor. Bir litre sıradan ayranın 155 TL olduğunu gördüm. Bu kadar saçma bir şey olamaz. Özetle, Yemeksepeti bozdu. Kullanmaya devam ediyorum ama diğer uygulamaları daha fazla kullanıyorum açıkçası.";0
1;Müşteri hizmetleri;Beklenen saatten çok daha geç gelen siparişi iptal edemememiz ve ihtiyaç anında bir temsilciyle iletişime geçemememiz bizi çok zor durumda bırakıyor bu durumun düzeltilmesini talep ediyorum;0
1;Para iade;Ürünlerimin iptalini sağladım ama siz paramı gondermedınız 1 ay oldu ne rezil bir işletme kimse alısverıs yapmasın;0
